Job.Latitude,Job.Longitude,Panel.Irradiance
-6,20,"[6482 5402 5625 3966 3320 3962 4063 3807 3582 4581 3847 4660 5382 4586
 3445 3340 2840 1840 1380]"
21,20,"[2480 3704 5585 1940 1700 2540 5110 4621 1400 1600 4162 5967 2962 2960
 4280 8710 3820 4141 6227]"
28,28,"[3830 4420 2300 3080 3666 4544 1680 2900 3583 4365 4262 3260 3360 6166
 5804 2420 3944 6286 2563]"
-1,28,"[9369 5485 3602 3982 4082 3202 2763 2860 3643 3464 3462 4204 4105 4180
 3408 2963 2920 2200 1980]"
-12,21,"[4820 4060 5602 4128 2980 3180 4543 3807 3380 4541 3503 4627 4600 5581
 4449 3809 3240 2780 1940]"
57,28,"[10850  7822  5824  4189  3384  3463  3041  2424  2381  2783  2462  1902
  1903  2124  1686  1360  1562   960   821]"
17,24,"[4564 3180 2943 2422 3002 3703 2180 3725 1760 2822 4043 3680 3246 2741
 4323 5520 4225 7103 7043]"
-18,20,"[3660 3940 4444 3547 2920 3640 3900 3489 3001 4361 3041 4109 5141 6362
 4567 3848 3780 3100 3220]"
46,28,"[8809 8283 4923 3942 3388 4442 2342 2365 2821 3482 2342 2501 3167 3480
 1962 2182 3343 2081 2921]"
38,23,"[6382 4244 4681 4305 3320 3223 3782 4160 3584 2580 3565 4521 4344 3161
 3665 3320 2725 3725 3085]"
10,27,"[3624 5143 4824 3500 2283 1923 3781 4141 2982 2663 2662 4369 4182 3542
 3706 3862 5920 3364 5902]"
